video_path,t_impact,stroke_type,stroke_id
data/Indoor Field/Straight Shot/Top-View/IST44.mp4,1.835,straight_shot,IST44_topview
data/Indoor Field/Straight Shot/Top-View/IST69.mp4,1.652,straight_shot,IST69_topview
data/Indoor Field/Straight Shot/Top-View/IST03.mp4,0.801,straight_shot,IST03_topview
data/Indoor Field/Straight Shot/Top-View/IST85.mp4,1.001,straight_shot,IST85_topview
data/Indoor Field/Straight Shot/Top-View/IST80.mp4,1.885,straight_shot,IST80_topview
data/Indoor Field/Straight Shot/Top-View/IST84.mp4,0.968,straight_shot,IST84_topview
data/Indoor Field/Straight Shot/Top-View/IST05.mp4,1.869,straight_shot,IST05_topview
data/Indoor Field/Straight Shot/Top-View/IST86.mp4,1.735,straight_shot,IST86_topview
data/Indoor Field/Straight Shot/Top-View/IST48.mp4,1.518,straight_shot,IST48_topview
data/Indoor Field/Straight Shot/Top-View/IST93.mp4,2.002,straight_shot,IST93_topview
data/Indoor Field/Straight Shot/Top-View/IST41.mp4,1.518,straight_shot,IST41_topview
data/Indoor Field/Straight Shot/Top-View/IST68.mp4,1.735,straight_shot,IST68_topview
data/Indoor Field/Straight Shot/Top-View/IST16.mp4,1.168,straight_shot,IST16_topview
data/Indoor Field/Straight Shot/Top-View/IST29.mp4,1.902,straight_shot,IST29_topview
data/Indoor Field/Straight Shot/Top-View/IST92.mp4,1.752,straight_shot,IST92_topview
data/Indoor Field/Straight Shot/Top-View/IST04.mp4,1.018,straight_shot,IST04_topview
data/Indoor Field/Straight Shot/Top-View/IST55.mp4,1.902,straight_shot,IST55_topview
data/Indoor Field/Straight Shot/Top-View/IST89.mp4,1.768,straight_shot,IST89_topview
data/Indoor Field/Straight Shot/Top-View/IST58.mp4,1.768,straight_shot,IST58_topview
data/Indoor Field/Straight Shot/Top-View/IST70.mp4,1.652,straight_shot,IST70_topview
data/Indoor Field/Straight Shot/Top-View/IST90.mp4,1.635,straight_shot,IST90_topview
data/Indoor Field/Straight Shot/Top-View/IST82.mp4,1.502,straight_shot,IST82_topview
data/Indoor Field/Straight Shot/Top-View/IST31.mp4,1.118,straight_shot,IST31_topview
data/Indoor Field/Straight Shot/Top-View/IST62.mp4,1.919,straight_shot,IST62_topview
data/Indoor Field/Straight Shot/Top-View/IST10.mp4,2.002,straight_shot,IST10_topview
data/Indoor Field/Straight Shot/Top-View/IST26.mp4,1.969,straight_shot,IST26_topview
data/Indoor Field/Straight Shot/Top-View/IST53.mp4,1.618,straight_shot,IST53_topview
data/Indoor Field/Straight Shot/Top-View/IST06.mp4,1.285,straight_shot,IST06_topview
data/Indoor Field/Straight Shot/Top-View/IST07.mp4,2.002,straight_shot,IST07_topview
data/Indoor Field/Straight Shot/Top-View/IST25.mp4,1.969,straight_shot,IST25_topview
data/Indoor Field/Straight Shot/Top-View/IST52.mp4,1.585,straight_shot,IST52_topview
data/Indoor Field/Straight Shot/Top-View/IST11.mp4,1.018,straight_shot,IST11_topview
data/Indoor Field/Straight Shot/Top-View/IST54.mp4,1.702,straight_shot,IST54_topview
data/Indoor Field/Straight Shot/Top-View/IST79.mp4,1.952,straight_shot,IST79_topview
data/Indoor Field/Straight Shot/Top-View/IST35.mp4,1.218,straight_shot,IST35_topview
data/Indoor Field/Straight Shot/Top-View/IST73.mp4,2.035,straight_shot,IST73_topview
data/Indoor Field/Straight Shot/Top-View/IST77.mp4,1.902,straight_shot,IST77_topview
data/Indoor Field/Straight Shot/Top-View/IST28.mp4,0.868,straight_shot,IST28_topview
data/Indoor Field/Straight Shot/Top-View/IST72.mp4,1.668,straight_shot,IST72_topview
data/Indoor Field/Straight Shot/Top-View/IST94.mp4,1.835,straight_shot,IST94_topview
data/Indoor Field/Straight Shot/Top-View/IST39.mp4,1.735,straight_shot,IST39_topview
data/Indoor Field/Straight Shot/Top-View/IST02.mp4,1.969,straight_shot,IST02_topview
data/Indoor Field/Straight Shot/Top-View/IST49.mp4,1.969,straight_shot,IST49_topview
data/Indoor Field/Straight Shot/Top-View/IST57.mp4,1.785,straight_shot,IST57_topview
data/Indoor Field/Straight Shot/Top-View/IST27.mp4,1.919,straight_shot,IST27_topview
data/Indoor Field/Straight Shot/Top-View/IST66.mp4,1.802,straight_shot,IST66_topview
data/Indoor Field/Straight Shot/Top-View/IST43.mp4,1.034,straight_shot,IST43_topview
data/Indoor Field/Straight Shot/Top-View/IST09.mp4,1.335,straight_shot,IST09_topview
data/Indoor Field/Straight Shot/Top-View/IST21.mp4,1.969,straight_shot,IST21_topview
data/Indoor Field/Straight Shot/Top-View/IST33.mp4,1.018,straight_shot,IST33_topview
data/Indoor Field/Straight Shot/Top-View/IST34.mp4,2.035,straight_shot,IST34_topview
data/Indoor Field/Straight Shot/Top-View/IST81.mp4,1.502,straight_shot,IST81_topview
data/Indoor Field/Straight Shot/Top-View/IST88.mp4,1.718,straight_shot,IST88_topview
data/Indoor Field/Straight Shot/Top-View/IST50.mp4,1.502,straight_shot,IST50_topview
data/Indoor Field/Straight Shot/Top-View/IST22.mp4,1.034,straight_shot,IST22_topview
data/Indoor Field/Straight Shot/Top-View/IST75.mp4,1.885,straight_shot,IST75_topview
data/Indoor Field/Straight Shot/Top-View/IST56.mp4,1.685,straight_shot,IST56_topview
data/Indoor Field/Straight Shot/Top-View/IST87.mp4,0.968,straight_shot,IST87_topview
data/Indoor Field/Straight Shot/Top-View/IST12.mp4,1.335,straight_shot,IST12_topview
data/Indoor Field/Straight Shot/Top-View/IST42.mp4,1.969,straight_shot,IST42_topview
data/Indoor Field/Straight Shot/Top-View/IST14.mp4,1.818,straight_shot,IST14_topview
data/Indoor Field/Straight Shot/Top-View/IST24.mp4,2.035,straight_shot,IST24_topview
data/Indoor Field/Straight Shot/Top-View/IST51.mp4,1.869,straight_shot,IST51_topview
