frame,x,y,score
2,1261.0,205.0,1.0
3,1257.0,201.0,1.0
4,1251.0,197.0,1.0
5,1241.0,195.0,1.0
6,1239.0,191.0,1.0
7,1235.0,189.0,1.0
8,1225.0,187.0,1.0
9,1221.0,183.0,1.0
10,1213.0,181.0,1.0
11,1209.0,179.0,1.0
12,1201.0,173.0,1.0
13,1195.0,175.0,1.0
14,1189.0,175.0,1.0
15,1183.0,173.0,1.0
16,1175.0,173.0,1.0
17,1169.0,171.0,1.0
18,1161.0,171.0,1.0
19,1155.0,171.0,1.0
20,1147.0,171.0,1.0
21,1141.0,171.0,1.0
22,1133.0,171.0,1.0
23,1125.0,171.0,1.0
24,1119.0,173.0,1.0
25,1111.0,173.0,1.0
26,1103.0,177.0,1.0
27,1095.0,179.0,1.0
28,1089.0,179.0,1.0
29,1081.0,181.0,1.0
30,1073.0,185.0,1.0
31,1065.0,189.0,1.0
32,1057.0,187.0,1.0
33,1049.0,195.0,1.0
34,1039.0,199.0,1.0
35,1033.0,203.0,1.0
36,1023.0,207.0,1.0
37,1015.0,211.0,1.0
38,1009.0,215.0,1.0
39,991.0,207.0,1.0
40,987.0,231.0,1.0
41,979.0,233.0,1.0
42,971.0,243.0,1.0
43,963.0,249.0,1.0
44,nan,nan,0.0
45,nan,nan,0.0
46,nan,nan,0.0
47,923.0,279.0,1.0
48,915.0,287.0,1.0
49,903.0,295.0,1.0
50,895.0,307.0,1.0
51,883.0,317.0,1.0
52,nan,nan,0.0
53,859.0,339.0,1.0
54,853.0,351.0,1.0
55,839.0,361.0,1.0
56,835.0,373.0,1.0
57,821.0,385.0,1.0
58,807.0,399.0,1.0
59,797.0,413.0,1.0
60,785.0,425.0,1.0
61,775.0,439.0,1.0
62,nan,nan,0.0
63,nan,nan,0.0
64,747.0,455.0,1.0
65,nan,nan,0.0
66,nan,nan,0.0
67,723.0,431.0,1.0
68,717.0,421.0,1.0
69,709.0,413.0,1.0
70,701.0,405.0,1.0
71,695.0,397.0,1.0
72,687.0,389.0,1.0
73,679.0,381.0,1.0
74,669.0,369.0,1.0
75,659.0,365.0,1.0
76,657.0,359.0,1.0
77,645.0,355.0,1.0
78,639.0,343.0,1.0
79,631.0,339.0,1.0
80,623.0,335.0,1.0
81,613.0,327.0,1.0
82,605.0,323.0,1.0
83,597.0,317.0,1.0
84,587.0,311.0,1.0
85,579.0,309.0,1.0
86,571.0,307.0,1.0
87,561.0,299.0,1.0
88,551.0,295.0,1.0
89,539.0,293.0,1.0
90,nan,nan,0.0
91,nan,nan,0.0
92,nan,nan,0.0
93,153.0,363.0,1.0
94,491.0,285.0,1.0
95,485.0,287.0,1.0
96,475.0,283.0,1.0
97,467.0,281.0,1.0
98,455.0,283.0,1.0
99,445.0,283.0,1.0
100,437.0,285.0,1.0
101,427.0,289.0,1.0
102,417.0,287.0,1.0
103,409.0,291.0,1.0
104,395.0,293.0,1.0
105,385.0,297.0,1.0
106,375.0,299.0,1.0
107,365.0,303.0,1.0
108,355.0,301.0,1.0
109,nan,nan,0.0
110,nan,nan,0.0
111,nan,nan,0.0
112,387.0,291.0,1.0
113,439.0,267.0,1.0
114,nan,nan,0.0
115,nan,nan,0.0
116,nan,nan,0.0
117,nan,nan,0.0
118,nan,nan,0.0
119,669.0,175.0,1.0
120,703.0,163.0,1.0
121,745.0,149.0,1.0
122,783.0,135.0,1.0
123,817.0,129.0,1.0
124,849.0,117.0,1.0
125,885.0,105.0,1.0
126,1179.0,61.0,1.0
127,nan,nan,0.0
128,nan,nan,0.0
129,nan,nan,0.0
130,nan,nan,0.0
131,1091.0,53.0,1.0
132,nan,nan,0.0
133,nan,nan,0.0
134,nan,nan,0.0
135,nan,nan,0.0
136,nan,nan,0.0
137,1177.0,61.0,1.0
138,nan,nan,0.0
